27,11,Blood on the Clocktower: Psi Press Master Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16
,Outcome,Final Day,Storyteller,Player Count,Format,Script,Win,Loss,Aden,Alexandra,Andreas,Anika,Asher,August,Carina,Carlos,Chris,Filippos,Hanlei,Izzy,Jack,Jasmine,Josh,Joy,Karen,Kate,Marcus,Morgan,Natalie,Pavlik,Purpleline,Raj,Rebecca,Ren,Rohan,Ryan,Sara,Spencer,Tyler,Vic,Vincent,Wendell,Will,Yaran,Ziad
1/25/26,Evil,TRUE,Anika,9,In-Person,Sects & Violets,"Rohan, Vic","Aden, Alexandra, Carina, Filippos, Josh, Vincent, Ziad",Savant,Flowergirl,n/a,n/a,n/a,n/a,Philosopher,n/a,n/a,Sage,n/a,n/a,n/a,n/a,Klutz,n/a,n/a,Barista,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Vortox,n/a,n/a,n/a,n/a,Pit Hag,Mutant,n/a,Bone Collector,n/a,Juggler
2/28/26,Good,FALSE,"Anika, Carina",11,In-Person,Sects & Violets,"Filippos, Josh, Rohan, Sara, Vic, Vincent, Rebecca, Yaran","Aden, Alexandra, Ryan",Snake Charmer,Pit Hag,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Mathematician,n/a,n/a,n/a,n/a,Vigormortis,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Sage,n/a,Savant,Evil Twin,Artist,n/a,n/a,Oracle,Flowergirl,n/a,n/a,Juggler,n/a
3/13/26,Good,TRUE,Anika,7,In-Person,Trouble Brewing,"Alexandra, Josh, Wendell, Ryan, Rebecca","Natalie, Aden",Poisoner,Mayor,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Monk,n/a,n/a,n/a,n/a,n/a,Imp,n/a,n/a,n/a,Chef,n/a,n/a,Fortune Teller,n/a,n/a,n/a,n/a,n/a,Washerwoman,n/a,n/a,n/a
4/4/26,Evil,TRUE,"Anika, Rohan",14,In-Person,Sects & Violets,"Carina, Rebecca, Wendell, Ryan, Yaran","Alexandra, Jasmine, Josh, Joy, Kate, Natalie, Vic, Vincent",n/a,Sage,n/a,n/a,n/a,n/a,Pit Hag,n/a,n/a,Deviant,n/a,Artist,Clockmaker,Snake Charmer,Flowergirl,Artist,n/a,Sweetheart,n/a,Barista,Town Crier,n/a,n/a,n/a,Witch,n/a,n/a,Fang Gu,n/a,n/a,n/a,Philosopher,Dreamer,Cerenovus,n/a,Barber,n/a
4/24/26,Good,FALSE,"Anika, Chris",11,Online,Sects & Violets,"August, Carina, Izzy, Jasmine, Raj, Rohan, Ryan, Vic","Alexandra, Natalie, Jack",n/a,Witch,n/a,n/a,n/a,Seamstress,Sage,n/a,n/a,n/a,n/a,n/a,Pit Hag,Town Crier,n/a,n/a,n/a,n/a,n/a,n/a,Vortox,n/a,n/a,Artist,n/a,n/a,Snake Charmer,Savant,n/a,n/a,n/a,Juggler,n/a,n/a,n/a,n/a,n/a
5/2/26,Evil,TRUE,"Anika, Chris, Rohan",15,In-Person,Bad Moon Rising,"Vincent, Will, Jasmine, Spencer","Andreas, Asher, August, Carina, Filippos, Kate, Natalie, Ryan, Vic, Wendell, Yaran",n/a,n/a,Courtier,n/a,Exorcist,Fool,Gambler,n/a,n/a,Moonchild,n/a,n/a,n/a,Mastermind,n/a,n/a,n/a,Innkeeper,n/a,n/a,Lunatic,n/a,n/a,n/a,n/a,n/a,n/a,Gossip,n/a,Devil's Advocate,n/a,Goon,Shabaloth,Chambermaid,Godfather,Grandmother,n/a
5/3/26,Evil,TRUE,"Anika, Chris, Rohan",15,In-Person,Bad Moon Rising,"Alexandra, Jasmine, Kate, Rohan, Vincent, Will","Chris, Pavlik",n/a,Grandmother,n/a,n/a,n/a,n/a,n/a,n/a,Zombuul,n/a,n/a,n/a,n/a,Professor,n/a,n/a,n/a,Gossip,n/a,n/a,n/a,Assassin,n/a,n/a,n/a,n/a,Gambler,n/a,n/a,n/a,n/a,n/a,Sailor,n/a,Tinker,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
,,,,0,,,,,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
